corner,vdd_v,temperature_c,gain,status,evidence_level
TT,1.98,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.98,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.98,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.98,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.98,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.98,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.98,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.62,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.62,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.62,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.62,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.62,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.62,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.62,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.62,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.62,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.8,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.8,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.8,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.8,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.8,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.8,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.8,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.8,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.8,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.98,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.98,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.98,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.98,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.98,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.98,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.98,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.98,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FF,1.98,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.62,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.62,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.62,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.62,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.62,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.62,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.62,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.62,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.62,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.8,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.8,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.8,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.8,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.8,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.8,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.8,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.8,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.8,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.98,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.98,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.98,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.98,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.98,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.98,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.98,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.98,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SS,1.98,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.62,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.62,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.62,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.62,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.62,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.62,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.62,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.62,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.62,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.8,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.8,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.8,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.8,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.8,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.8,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.8,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.8,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.8,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.98,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.98,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.98,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.98,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.98,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.98,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.98,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.98,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
FS,1.98,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.62,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.62,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.62,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.62,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.62,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.62,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.62,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.62,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.62,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.8,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.8,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.8,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.8,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.8,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.8,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.8,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.8,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.8,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.98,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.98,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.98,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.98,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.98,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.98,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.98,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.98,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
SF,1.98,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
